"","Simulation","Round","Agent","Choice","Reward","Expectation1","Expectation2","Expectation3","Project1_Tasks","Project2_Tasks","Project3_Tasks","Project1_Rewards","Project2_Rewards","Project3_Rewards","Project1_Work","Project2_Work","Project3_Work","alpha","beta","nAgents","nProjects","nTasks","nRounds"
"34",1,2,16,1,0.916316223196156,0.935688999904389,0.917535956783686,0.744255146502983,286,288,290,6.41421356237309,6,5,7,6,5,0.5,0.3,18,3,300,50
"35",1,2,17,3,1,0.750154398590112,0.702756600920111,0.950123865739442,286,288,290,6.41421356237309,6,5,7,6,5,0.5,0.3,18,3,300,50
"36",1,2,18,3,1,0.310712668811902,0.853083483036607,0.958954394445755,286,288,290,6.41421356237309,6,5,7,6,5,0.5,0.3,18,3,300,50
"37",1,3,1,2,1,0.351739175617695,0.992810493480647,0.923981881804142,279,282,285,6.41421356237309,6,5,7,6,5,0.5,0.3,18,3,300,50
"38",1,3,2,3,1,0.607598826213757,0.671618164290907,0.894729804334929,279,282,285,6.41421356237309,6,5,7,6,5,0.5,0.3,18,3,300,50
"39",1,3,3,1,0.916316223196156,0.881402941972253,0.682967777392361,0.685527319981949,279,282,285,6.41421356237309,6,5,7,6,5,0.5,0.3,18,3,300,50
"40",1,3,4,2,1,0.842278626951058,0.928163117554504,0.263727635145187,279,282,285,6.41421356237309,6,5,7,6,5,0.5,0.3,18,3,300,50
"41",1,3,5,1,0.916316223196156,0.896672561646908,0.939738759608993,0.696319607784972,279,282,285,6.41421356237309,6,5,7,6,5,0.5,0.3,18,3,300,50
"42",1,3,6,2,1,0.737905222540972,0.989408724242821,0.118368917144835,279,282,285,6.41421356237309,6,5,7,6,5,0.5,0.3,18,3,300,50
"43",1,3,7,2,1,0.730851203806017,0.923886624921579,0.10058200894855,279,282,285,6.41421356237309,6,5,7,6,5,0.5,0.3,18,3,300,50
"44",1,3,8,1,0.916316223196156,0.879649217792091,0.682595254274784,0.682532728452468,279,282,285,6.41421356237309,6,5,7,6,5,0.5,0.3,18,3,300,50
"45",1,3,9,3,1,0.889305327482104,0.317014764994383,0.996802917332388,279,282,285,6.41421356237309,6,5,7,6,5,0.5,0.3,18,3,300,50
"46",1,3,10,1,0.916316223196156,0.897815331698864,0.691303634022828,0.786018783449661,279,282,285,6.41421356237309,6,5,7,6,5,0.5,0.3,18,3,300,50
"47",1,3,11,2,1,0.81551398376617,0.994552083051531,0.642784833209589,279,282,285,6.41421356237309,6,5,7,6,5,0.5,0.3,18,3,300,50
"48",1,3,12,1,0.916316223196156,0.921078687095785,0.927073062238516,0.786927298177034,279,282,285,6.41421356237309,6,5,7,6,5,0.5,0.3,18,3,300,50
"49",1,3,13,1,0.916316223196156,0.892775322542063,0.0999725800938904,0.720151995265391,279,282,285,6.41421356237309,6,5,7,6,5,0.5,0.3,18,3,300,50
"50",1,3,14,3,1,0.610365684613137,0.846773209066363,0.954692196566612,279,282,285,6.41421356237309,6,5,7,6,5,0.5,0.3,18,3,300,50
"51",1,3,15,2,1,0.733740808345395,0.939262804720784,0.756802089790814,279,282,285,6.41421356237309,6,5,7,6,5,0.5,0.3,18,3,300,50
"52",1,3,16,1,0.916316223196156,0.926002611550273,0.94227516974858,0.820978602552088,279,282,285,6.41421356237309,6,5,7,6,5,0.5,0.3,18,3,300,50
"53",1,3,17,3,1,0.800002945971926,0.702756600920111,0.975061932869721,279,282,285,6.41421356237309,6,5,7,6,5,0.5,0.3,18,3,300,50
"54",1,3,18,3,1,0.310712668811902,0.897158438125625,0.979477197222877,279,282,285,6.41421356237309,6,5,7,6,5,0.5,0.3,18,3,300,50
"55",1,4,1,2,0.777777777777778,0.351739175617695,0.885294135629212,0.962751122084029,275,273,280,4,7,5,4,9,5,0.5,0.3,18,3,300,50
"56",1,4,2,3,1,0.72531917834963,0.703466048336968,0.947364902167465,275,273,280,4,7,5,4,9,5,0.5,0.3,18,3,300,50
"57",1,4,3,1,1,0.940701470986127,0.711410777507986,0.779869123987365,275,273,280,4,7,5,4,9,5,0.5,0.3,18,3,300,50
"58",1,4,4,2,0.777777777777778,0.88959503886574,0.852970447666141,0.263727635145187,275,273,280,4,7,5,4,9,5,0.5,0.3,18,3,300,50
"59",1,4,5,2,0.777777777777778,0.896672561646908,0.858758268693386,0.696319607784972,275,273,280,4,7,5,4,9,5,0.5,0.3,18,3,300,50
"60",1,4,6,2,0.777777777777778,0.737905222540972,0.8835932510103,0.118368917144835,275,273,280,4,7,5,4,9,5,0.5,0.3,18,3,300,50
"61",1,4,7,2,0.777777777777778,0.811595842664212,0.850832201349678,0.10058200894855,275,273,280,4,7,5,4,9,5,0.5,0.3,18,3,300,50
"62",1,4,8,1,1,0.939824608896046,0.711150011325682,0.777772909916728,275,273,280,4,7,5,4,9,5,0.5,0.3,18,3,300,50
"63",1,4,9,3,1,0.945759610466231,0.317014764994383,0.998401458666194,275,273,280,4,7,5,4,9,5,0.5,0.3,18,3,300,50
"64",1,4,10,1,1,0.948907665849432,0.717245877149313,0.850213148414763,275,273,280,4,7,5,4,9,5,0.5,0.3,18,3,300,50
"65",1,4,11,2,0.777777777777778,0.870859788636319,0.886164930414654,0.642784833209589,275,273,280,4,7,5,4,9,5,0.5,0.3,18,3,300,50
"66",1,4,12,2,0.777777777777778,0.944755080967049,0.852425420008147,0.786927298177034,275,273,280,4,7,5,4,9,5,0.5,0.3,18,3,300,50
"67",1,4,13,1,1,0.946387661271032,0.303314139399057,0.804106396685773,275,273,280,4,7,5,4,9,5,0.5,0.3,18,3,300,50
"68",1,4,14,3,1,0.727255979229196,0.826074579679787,0.977346098283306,275,273,280,4,7,5,4,9,5,0.5,0.3,18,3,300,50
"69",1,4,15,2,0.777777777777778,0.733740808345395,0.858520291249281,0.829761462853569,275,273,280,4,7,5,4,9,5,0.5,0.3,18,3,300,50
"70",1,4,16,2,0.777777777777778,0.926002611550273,0.860026473763179,0.874685021786461,275,273,280,4,7,5,4,9,5,0.5,0.3,18,3,300,50
"71",1,4,17,3,1,0.800002945971926,0.725262953977411,0.987530966434861,275,273,280,4,7,5,4,9,5,0.5,0.3,18,3,300,50
"72",1,4,18,3,1,0.310712668811902,0.861344240021271,0.989738598611439,275,273,280,4,7,5,4,9,5,0.5,0.3,18,3,300,50
"73",1,5,1,3,1,0.351739175617695,0.885294135629212,0.981375561042015,267,269,274,6.73205080756888,4,6,8,4,6,0.5,0.3,18,3,300,50
"74",1,5,2,3,1,0.760175330128574,0.703466048336968,0.973682451083732,267,269,274,6.73205080756888,4,6,8,4,6,0.5,0.3,18,3,300,50
"75",1,5,3,1,0.84150635094611,0.891103910966118,0.711410777507986,0.845908386791155,267,269,274,6.73205080756888,4,6,8,4,6,0.5,0.3,18,3,300,50
"76",1,5,4,1,0.84150635094611,0.865550694905925,0.852970447666141,0.263727635145187,267,269,274,6.73205080756888,4,6,8,4,6,0.5,0.3,18,3,300,50
"77",1,5,5,1,0.84150635094611,0.869089456296509,0.90113078808537,0.696319607784972,267,269,274,6.73205080756888,4,6,8,4,6,0.5,0.3,18,3,300,50
"78",1,5,6,2,1,0.768985561062513,0.94179662550515,0.118368917144835,267,269,274,6.73205080756888,4,6,8,4,6,0.5,0.3,18,3,300,50
"79",1,5,7,2,1,0.820568995148781,0.925416100674839,0.10058200894855,267,269,274,6.73205080756888,4,6,8,4,6,0.5,0.3,18,3,300,50
"80",1,5,8,1,0.84150635094611,0.890665479921078,0.797805007927977,0.844441036941709,267,269,274,6.73205080756888,4,6,8,4,6,0.5,0.3,18,3,300,50
"81",1,5,9,3,1,0.892590448110969,0.317014764994383,0.999200729333097,267,269,274,6.73205080756888,4,6,8,4,6,0.5,0.3,18,3,300,50
"82",1,5,10,1,0.84150635094611,0.895207008397771,0.802072114004519,0.895149203890334,267,269,274,6.73205080756888,4,6,8,4,6,0.5,0.3,18,3,300,50
"83",1,5,11,2,1,0.855889535414312,0.943082465207327,0.642784833209589,267,269,274,6.73205080756888,4,6,8,4,6,0.5,0.3,18,3,300,50
"84",1,5,12,1,0.84150635094611,0.893130715956579,0.896697794005703,0.786927298177034,267,269,274,6.73205080756888,4,6,8,4,6,0.5,0.3,18,3,300,50
"85",1,5,13,1,0.84150635094611,0.893947006108571,0.303314139399057,0.862874477680041,267,269,274,6.73205080756888,4,6,8,4,6,0.5,0.3,18,3,300,50
